name,price,dimension,material,category
Echiquier acajou et sycomore 44 cm avec notations – cases 4.5 cm,39.00€,44cm,acajou et sycomore,Echiquier
Echiquier pliant acajou et sycomore 48 cm avec notations – cases 5 cm,41.00€,48cm,acajou et sycomore,Echiquier
Echiquier acajou et sycomore 48 cm avec notations – cases 5 cm,45.00€,48cm ,acajou et sycomore,Echiquier
Echiquier en noyer 44 cm – cases 4.5 cm,45.00€,44cm,noyer,Echiquier
Echiquier en sapele noir 48 cm avec notations – cases 5 cm,49.00€,48cm,sapele,Echiquier
Echiquier en noyer 48 cm – cases 5 cm,49.00€,48cm,noyer,Echiquier
Echiquier en wengé 44 cm – cases 4.5 cm,55.00€,44cm,wengé,Echiquier
Echiquier en wengé 48 cm – cases 5 cm,59.00€,48cm,wengé,Echiquier
Echiquier de luxe en cassia du Siam et érable 50 cm,75.00€,50cm,bois,Echiquier
Echiquier de luxe en ébène et érable 50 cm,91.00€,50cm,ébène et érable,Echiquier
Echiquier de luxe en noyer 53 cm,103.00€,53cm,noyer,Echiquier
Echiquier massif de luxe en saména de Guyane et buis 50 cm,115.00€,50cm,saména de Guyane et buis,Echiquier
Echiquier artisanal albâtre et bois – aspect chêne 50 cm,159.00€,50cm,albâtre et bois,Echiquier
Echiquier artisanal albâtre et bois – aspect acajou 50 cm,159.00€,50cm,albâtre et bois,Echiquier
Echiquier en palissandre doré massif 38 cm,133.00€,38cm,palissandre doré,Echiquier
Echiquier en palissandre doré massif 45 cm,152.00€,45cm,palissandre doré,Echiquier
Echiquier artisanal albâtre et bois – aspect acajou 63 cm,189.00€,63cm,albâtre et bois,Echiquier
Echiquier en palissandre massif 38 cm,170.00€,38cm,palissandre,Echiquier
Echiquier pliant en palissandre doré 46 cm,178.00€,46cm,palissandre doré,Echiquier
Echiquier en palissandre massif 45 cm,189.00€,45cm,palissandre,Echiquier
Echiquier pliant en palissandre doré 51 cm,192.00€,51cm,palissandre doré,Echiquier
Echiquier en bois de rose massif 38 cm,198.00€,38cm,rose,Echiquier
Echiquier pliant en palissandre doré 53 cm,208.00€,53cm,palissandre doré,Echiquier
Echiquier pliant en palissandre 46 cm,208.00€,46cm,palissandre,Echiquier
Echiquier pliant en palissandre doré 57 cm,222.00€,57cm,palissandre doré,Echiquier
Echiquier en palissandre de 51 cm vue 1,222.00€,51cm,palissandre,Echiquier
Echiquier en palissandre doré massif 50 cm,235.00€,50cm,palissandre doré,Echiquier
Echiquier pliant en palissandre 53 cm,237.00€,53cm,palissandre,Echiquier
Echiquier en palissandre massif 48 cm,244.00€,48cm,palissandre,Echiquier
Echiquier pliant en palissandre 57 cm,251.00€,57cm,palissandre,Echiquier
Echiquier en palissandre doré massif 55 cm,254.00€,55cm,palissandre doré,Echiquier
Echiquier en palissandre doré massif 58 cm,272.00€,58cm,palissandre doré,Echiquier
Echiquier en palissandre massif 50 cm,272.00€,50cm,palissandre,Echiquier
Echiquier en palissandre massif 55 cm,291.00€,55cm,palissandre,Echiquier
Echiquier en palissandre doré massif 63 cm,309.00€,63cm,palissandre doré,Echiquier
Echiquier en palissandre massif 58 cm,309.00€,58cm,palissandre,Echiquier
Echiquier en palissandre massif 63 cm,346.00€,63cm,palissandre,Echiquier
Echiquier en bois de rose massif 53 cm,383.00€,53cm,rose,Echiquier
Pièces de jeu d’échecs LITTLE MONARQUE de luxe en palissandre,106.00€,7.6 cm / 3 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs IMPERATOR de luxe en palissandre doré,124.00€,9.5 cm / 4.1 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs REGAL de luxe en palissandre doré,124.00€,9.5 cm / 4.1 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs MONARQUE de luxe en palissandre doré,124.00€,9.5 cm / 3.7 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs CASTLE EN ÉBÈNE,137.00€,8.6 cm / 3.2 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs CASTLE EN BOIS DE ROSE,137.00€,8.6 cm / 3.2 cm,rose,Pièces de jeu
Pièces de jeu d’échecs LOTUS BOIS DE ROSE,141.00€,11 cm / 3.2 cm,rose,Pièces de jeu
Pièces de jeu d’échecs LOTUS ÉBÈNE,141.00€,10.9 cm / 3.3 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs VICTORIAN de luxe en palissandre doré,142.00€,9.5 cm / 4.1 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs BLACK REGAL de luxe,142.00€,9.5 cm / 4.1 cm,bois,Pièces de jeu
Pièces de jeu d’échecs GOLDEN MONARCH de luxe en palissandre doré,152.00€,10.2 cm / 4.1 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs QUARTER HORSE de luxe en palissandre doré,161.00€,10.8 cm / 4.6 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs MAJESTIC de luxe en palissandre doré,161.00€,10.2 cm / 4.7 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs EMPEREUR de luxe en palissandre doré,161.00€,10.2 cm / 4.7 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs REGAL de luxe en palissandre,161.00€,9.5 cm / 4.1 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs ROYAL CROWN de luxe en palissandre doré,161.00€,10.8 cm / 4.4 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs IMPERATOR de luxe en palissandre,169.00€,9.5 cm / 4.1 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs BLACK MONARCH de luxe,169.00€,10.2 cm / 4.1 cm,bois,Pièces de jeu
Pièces de jeu d’échecs MONARQUE de luxe en palissandre,169.00€,9.5 cm / 3.7 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs CASTLE EN BOIS DE ROSE ET ÉBÈNE,173.00€,8.6 cm / 3.2 cm,rose et ébène,Pièces de jeu
Pièces de jeu d’échecs BLACK ROYAL de luxe,179.00€,10.8 cm / 4.6 cm,bois,Pièces de jeu
Pièces de jeu d’échecs REGALIA de luxe en palissandre doré,179.00€,11.4 cm / 4.7 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs BLACK CROWN de luxe,179.00€,10.8 cm / 4.4 cm,bois,Pièces de jeu
Pièces de jeu d’échecs SUPERB STAUNTON en sheesham,179.00€,8.2 cm / 3.5 cm,sheesham,Pièces de jeu
Pièces de jeu d’échecs MODERN,180.00€,11cm / 4.7 cm,bois,Pièces de jeu
Pièces de jeu d’échecs MODERN SHEESHAM,180.00€,11 cm / 4.7 cm,sheesham,Pièces de jeu
Pièces de jeu d’échecs ANTIQUE DESIGN,188.00€,9.7 cm / 3.7 cm,bois,Pièces de jeu
Pièces de jeu d’échecs STAUNTON PRESTIGE plaquées or 24 carats,189.00€,7.6 cm / 3.3 cm,Pièces de jeu,
Pièces d’échecs ARTHUR ELLIOTT,189.00€,10.8 cm / 3.5 cm,bois,Pièces de jeu
Pièces de jeu d’échecs SUPERB STAUNTON,191.00€,8.2 cm / 3.5 cm,bois,Pièces de jeu
Pièces de jeu d’échecs SUPERB STAUNTON en ébène,191.00€,8.2 cm / 3.5 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs MEGHDOOT en sheesham,194.00€,8.5 cm / 3.5 cm,sheesham,Pièces de jeu
Pièces de jeu d’échecs MONARCH de luxe en palissandre,198.00€,10.2 cm / 4.1 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs SPLENDID de luxe,198.00€,9.5 cm / 3.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs BRIDLE KNIGHT de luxe en palissandre doré,198.00€,9.5 cm / 4.3 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs de luxe HEAVY KNIGHT,206.00€,10.2 cm / 4.4 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe VARNISH SHEESHAM,206.00€,10.2 cm / 4.4 cm,sheesham,Pièces de jeu
Pièces de jeu d’échecs de luxe VARNISH STAUNTON,206.00€,10.2 cm / 4.4 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe HEAVY KNIGHT en sheesham,206.00€,10.3 cm / 4.3 cm,sheesham,Pièces de jeu
Pièces de jeu d’échecs ROYAL KNIGHT de luxe en palissandre,207.00€,8.9 cm / 3.6 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs ROYAL CROWN de luxe en palissandre,217.00€,10.8 cm / 4.4 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs de luxe MEGHDOOT en ébène,225.00€,8.5 cm / 3.5 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs MAJESTIC de luxe en palissandre,226.00€,10.2 cm / 4.7 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs QUARTER HORSE de luxe en palissandre,226.00€,10.8 cm / 4.6 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs BLACK KNIGHT de luxe,226.00€,9.5 cm / 3.9 cm,bois,Pièces de jeu
Pièces de jeu d’échecs REGAL ÉBÈNE de luxe,226.00€,9.5 cm / 4.1 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs STAUNTON IMPERIAL de luxe,233.00€,10.1 cm / 3.9 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs LOTUS,235.00€,14.6 cm / 3.5 cm,bois,Pièces de jeu
Pièces de jeu d’échecs SPHERICAL JALI,238.00€,11.2 cm / 3.6 cm,bois,Pièces de jeu
Pièces de jeu d’échecs ROYAL KNIGHT de luxe en palissandre,244.00€,9.5 cm / 3.9 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs DERBY de luxe,244.00€,10.2 cm / 4.4 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe SUPREME en bois de rose,252.00€,10.4 cm / 4.3 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe JUMPER STAUNTON en bois de rose,252.00€,10.2 cm / 4.1 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe ZAGREB en palissandre,252.00€,10.5 cm / 4.3 cm,palissandre,Pièces de jeu
Pièces d’échecs RUSSIAN,269.00€,10.4 cm / 3.6 cm,bois,Pièces de jeu
Pièces de jeu d’échecs STAUNTON IMPERIAL de luxe,269.00€,10.1 cm / 3.9 cm,palissandre doré,Pièces de jeu
Pièces de jeu d’échecs AUSTRIAN COFFEE,270.00€,10.7 cm / 4.1 cm,bois,Pièces de jeu
Pièces de jeu d’échecs WILLIAM HALLETT,270.00€,10.2 cm / 4.2 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe AMBASSADEUR en palissandre doré,280.00€,10.5 cm / 4.7 cm,palissandre doré,Pièces de jeu
Pièces d’échecs CIRCA 1800 ÉBÈNE,282.00€,11.7 cm / 4.6 cm,ébène,Pièces de jeu
Pièces d’échecs CIRCA 1800,282.00€,11.7 cm / 4,6 cm.bois,Pièces de jeu
Pièces de jeu d’échecs DUBROVNIK BOBBY FISHER,287.00€9.2 cm / 4,2 cm,bois,Pièces de jeu
Pièces de jeu d’échecs en os KING CROSS,289.00€,10.3 cm / 3.5 cm,os,Pièces de jeu
Pièces de jeu d’échecs en os MOGHUL BONE,292.00€,10.1 cm / 3.5 cm,os,Pièces de jeu
Pièces d’échecs REGENCE,292.00€,10.9 cm / 3.7 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe CENTURION ÉBÈNE,293.00€,9.1 cm / 4.2 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe CENTURION en bois de rose,293.00€,9.1 cm / 4.2 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe STAUNTON CLUB en bois de rose,299.00€,11.6 cm / 4.9 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe PETIT DUC DE COURTENAY en bois de rose,328.00€,9.6 cm / 4.4 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe PETIT DUC DE COURTENAY en ébène,328.00€,9.6 cm / 4.4 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs CALVERT en ébène,329.00€,10.4 cm / 3.2 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs DUBLIN PATTERN en bois de rose,329.00€,10.2 cm / 4.8 cm,rose,Pièces de jeu
Pièces d’échecs DUBROVNIK BOBBY FISHER,337.00€,10.2 cm / 4.5 cm,bois,Pièces de jeu
Pièces de jeu d’échecs PRAETORIAN,343.00€,10.3 cm / 4.3 cm,bois,Pièces de jeu
Pièces de jeu d’échecs ANTIQUE,346.00€,13.2 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs STAINED CALVERT,347.00€,10.4 cm / 3.6 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE VELIANT ÉBÈNE,351.00€,11 cm / 4.2 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs GRAND DIVAN en palissandre,353.00€,10.9 cm / 4 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs MONOBLOCK PATTERN en bois de rose,366.00€,10.5 cm / 3.8 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE LYS ÉBÈNE,376.00€,11.3 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe APALOUSA en ébène,376.00€,11.2 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe APALOUSA en bois de rose,376.00€,11.2 cm / 4.8 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE COURTENAY en bois de rose,417.00€,11 cm / 4.9 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE COURTENAY ÉBÈNE,417.00€,11 cm / 4.9 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs CALVERT STYLE en palissandre,457.00€,11.8 cm / 4.4 cm,palissandre,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE ROBERDIC ÉBÈNE,480.00€,10.7 cm / 4.6 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE ROBERDIC BOIS DE ROSE,480.00€,10.7 cm / 4.6 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe CAVALIER DE KINSKY,482.00€,11.4 cm / 4.4 cm,bois,Pièces de jeu
Pièces de jeu d’échecs SOLAPUR en bois de rose,484.00€,14 cm / 4.6 cm,rose,Pièces de jeu
Pièces de jeu d’échecs antiques SOLAPUR ÉBÈNE,484.00€,14 cm / 4.6 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE PADOUE ÉBÈNE,499.00€,11.5 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs COLOMBIEN ÉBÈNE,499.00€,11.5 / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs COLOMBIEN en bois de rose,499.00€,11.5 / 4.8 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe HURRICANE,509.00€,12.4 cm / 4.9 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe HURRICANE ÉBÈNE,509.00€,12.4 cm / 4.9 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE CARIGNAN,527.00€,11.4 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe DUC DE CARIGNAN ÉBÈNE,527.00€,11.4 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe PERSIA ÉBÈNE,528.00€,11.6 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe PERSIA,528.00€,11.6 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE LONGUEVILLE ÉBÈNE,534.00€,12.4 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe BARON DE REUILLY,539.00€,11.6 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe BARON DE REUILLY ÉBÈNE,539.00€,11.6 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe CAVALIER DE KINSKY ÉBÈNE,549.00€,11.4 cm / 4.4 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs COMTE DE BELGARDE ÉBÈNE,569.00€,11.2 cm / 4.7 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs COMTE DE BELGARDE bois de rose,569.00€,11.2 cm / 4.7 cm,rose,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE FRONSAC ÉBÈNE,579.00€,12.2 cm / 5 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe COMTE DE FRONSAC,579.00€,12.2 cm / 5 cm,bois,Pièces de jeu
Pièces rares de jeu d’échecs de luxe DUCHAMP en bois de rose,586.00€,11.4 cm / 4 cm,rose,Pièces de jeu
Pièces rares de jeu d’échecs de luxe DUCHAMP en ébène,586.00€,11.4 cm / 4 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe ANDALOUSIA,589.00€,11.7 cm / 4.8 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe ANDALOUSIA ÉBÈNE,589.00€,11.7 cm / 4.8 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs de luxe ENGLISH TAWLEED,592.00€,11.9 cm / 4.9 cm,bois,Pièces de jeu
Pièces de jeu d’échecs de luxe ENGLISH TAWLEED ÉBÈNE,592.00€,11.9 cm / 4.9 cm,ébène,Pièces de jeu
Pièces de jeu d’échecs CATALAN en bois de rose,614.00€,11 cm / 4.4 cm,rose,Pièces de jeu
Pièces de jeu d’échecs rare de luxe COMTE DE CONEGLIANO,632.00€,11.7 cm / 5.2 cm,bois,Pièces de jeu
Pièces de jeu d’échecs rares de luxe DUC DE TAVANNES,637.00€,10.8 cm / 4.9 cm,bois,Pièces de jeu
Pièces de jeu d’échecs rares de luxe DUC DE TAVANNES ÉBÈNE,637.00€,10.8 cm / 4.9 cm,ébène,Pièces de jeu
Pièces géantes de jeu d’échecs GIANT STAUNTON en bois de rose –,979.00€,15.3 cm / 6.4 cm,rose,Pièces de jeu
Pièces géantes de jeu d’échecs GIANT STAUNTON en ébène et buis –,979.00€,15.3 cm / 6.4 cm,ébène et buis,Pièces de jeu
